date,fivepm,ninepm,twopm
2019-11-24,796.0,232.0,180.0
2019-11-25,142.0,452.0,612.0
2019-11-26,121.0,984.0,642.0
2019-11-27,818.0,182.0,541.0
2019-11-28,527.0,769.0,743.0
2016-10-30,925.0,697.0,531.0
2016-10-31,373.0,359.0,774.0
2014-12-14,148.0,847.0,426.0
2014-12-15,928.0,878.0,500.0
2014-12-16,462.0,244.0,384.0
2014-12-17,472.0,317.0,726.0
2014-12-18,635.0,273.0,756.0
2014-12-19,836.0,983.0,918.0
2014-12-20,79.0,674.0,399.0
2014-12-21,63.0,784.0,581.0
2014-12-22,530.0,612.0,620.0
2014-12-23,354.0,169.0,707.0
2019-11-29,294.0,100.0,736.0
2019-11-30,94.0,261.0,969.0
2019-12-10,464.0,430.0,243.0
2013-10-10,187.0,258.0,636.0
2013-10-11,944.0,498.0,378.0
2013-10-12,519.0,478.0,291.0
2013-10-13,150.0,474.0,414.0
2013-10-14,361.0,150.0,131.0
2013-10-15,716.0,750.0,146.0
2013-10-16,63.0,93.0,982.0
2016-11-10,607.0,250.0,913.0
2016-11-11,160.0,745.0,641.0
2016-11-12,972.0,923.0,545.0
2016-11-13,874.0,735.0,606.0
2016-11-14,333.0,45.0,990.0
2016-11-15,534.0,112.0,107.0
2016-11-16,858.0,446.0,172.0
2016-11-17,449.0,336.0,529.0
2016-11-18,231.0,317.0,77.0
2016-11-19,424.0,396.0,736.0
2014-12-24,738.0,415.0,362.0
2014-12-26,246.0,923.0,246.0
2014-12-27,939.0,983.0,787.0
2014-12-28,903.0,870.0,957.0
2014-12-29,68.0,673.0,710.0
2014-12-30,889.0,315.0,76.0
2014-12-31,101.0,774.0,349.0
2017-10-10,481.0,140.0,427.0
2017-10-11,801.0,100.0,101.0
2017-10-12,358.0,520.0,272.0
2017-10-13,722.0,604.0,209.0
2017-10-14,287.0,700.0,368.0
2017-10-15,274.0,574.0,22.0
2017-10-16,755.0,34.0,639.0
2017-10-17,738.0,588.0,123.0
2017-10-18,687.0,420.0,712.0
2017-10-19,411.0,424.0,12.0
2019-12-11,68.0,891.0,42.0
2019-12-12,868.0,449.0,561.0
2019-12-13,750.0,860.0,360.0
2019-12-14,233.0,192.0,807.0
2019-12-15,446.0,808.0,989.0
2013-10-17,318.0,923.0,471.0
2013-10-18,918.0,359.0,513.0
2013-10-19,57.0,652.0,655.0
2013-10-20,402.0,975.0,299.0
2013-10-21,573.0,630.0,229.0
2013-10-22,381.0,167.0,16.0
2013-10-23,72.0,917.0,549.0
2013-10-24,726.0,159.0,771.0
2016-11-20,804.0,208.0,312.0
2016-11-21,299.0,470.0,532.0
2017-10-20,90.0,621.0,787.0
2017-10-21,762.0,238.0,540.0
2017-10-22,772.0,680.0,563.0
2017-10-23,667.0,253.0,61.0
2017-10-24,791.0,691.0,838.0
2017-10-25,70.0,730.0,237.0
2017-10-26,885.0,316.0,997.0
2017-10-27,907.0,864.0,124.0
2017-10-28,307.0,131.0,414.0
2017-10-29,855.0,298.0,57.0
2017-10-30,594.0,515.0,214.0
2017-10-31,317.0,72.0,788.0
2019-12-16,649.0,411.0,71.0
2019-12-17,859.0,303.0,617.0
2019-12-18,153.0,314.0,79.0
2019-12-19,961.0,205.0,671.0
2019-12-20,830.0,920.0,162.0
2019-12-21,480.0,271.0,766.0
2019-12-22,171.0,598.0,127.0
2019-12-23,33.0,204.0,103.0
2013-10-25,877.0,31.0,643.0
2013-10-26,170.0,553.0,115.0
2013-10-27,492.0,674.0,536.0
2013-10-28,928.0,466.0,243.0
2013-10-29,920.0,982.0,763.0
2013-10-30,564.0,244.0,188.0
2013-10-31,373.0,376.0,474.0
2016-11-22,128.0,280.0,509.0
2016-11-23,918.0,845.0,271.0
2016-11-24,3.0,478.0,351.0
2016-11-25,907.0,752.0,922.0
2016-11-26,871.0,423.0,39.0
2017-11-10,956.0,722.0,891.0
2019-12-24,222.0,167.0,83.0
2019-12-25,,,
2019-12-26,92.0,818.0,257.0
2019-12-27,476.0,492.0,94.0
2019-12-28,757.0,831.0,390.0
2019-12-29,218.0,292.0,992.0
2016-11-27,60.0,498.0,896.0
2016-11-28,58.0,81.0,442.0
2016-11-29,786.0,841.0,446.0
2016-11-30,527.0,14.0,491.0
2012-10-10,780.0,539.0,160.0
2012-10-11,962.0,888.0,422.0
2012-10-12,371.0,846.0,959.0
2012-10-13,492.0,653.0,140.0
2012-10-14,851.0,956.0,504.0
2012-10-15,22.0,391.0,397.0
2012-10-16,154.0,864.0,976.0
2012-10-17,154.0,144.0,541.0
2012-10-18,192.0,847.0,507.0
2012-10-19,272.0,44.0,756.0
2017-11-11,778.0,992.0,759.0
2017-11-12,301.0,636.0,734.0
2017-11-13,608.0,242.0,965.0
2017-11-14,408.0,83.0,643.0
2017-11-15,343.0,822.0,37.0
2017-11-16,391.0,398.0,770.0
2017-11-17,817.0,110.0,811.0
2017-11-18,126.0,34.0,168.0
2019-12-30,718.0,182.0,730.0
2019-12-31,745.0,963.0,484.0
2013-11-10,47.0,691.0,420.0
2013-11-11,971.0,465.0,480.0
2013-11-12,916.0,675.0,789.0
2013-11-13,989.0,957.0,300.0
2013-11-14,969.0,373.0,106.0
2013-11-15,331.0,26.0,223.0
2016-12-10,613.0,724.0,746.0
2016-12-11,683.0,321.0,449.0
2016-12-12,15.0,451.0,619.0
2016-12-13,537.0,997.0,751.0
2016-12-14,47.0,423.0,196.0
2012-10-20,407.0,779.0,472.0
2012-10-21,609.0,185.0,125.0
2012-10-22,265.0,591.0,958.0
2012-10-23,807.0,353.0,722.0
2012-10-24,272.0,51.0,589.0
2012-10-25,421.0,637.0,438.0
2012-10-26,557.0,57.0,118.0
2012-10-27,199.0,209.0,670.0
2017-11-19,763.0,863.0,275.0
2017-11-20,185.0,774.0,660.0
2017-11-21,525.0,618.0,306.0
2017-11-22,361.0,577.0,495.0
2017-11-23,621.0,59.0,564.0
2017-11-24,373.0,367.0,202.0
2017-11-25,143.0,545.0,84.0
2017-11-26,270.0,741.0,842.0
2017-11-27,744.0,455.0,412.0
2017-11-28,974.0,919.0,455.0
2017-11-29,327.0,919.0,300.0
2017-11-30,131.0,193.0,56.0
2013-11-16,756.0,324.0,488.0
2013-11-17,95.0,121.0,461.0
2013-11-18,468.0,746.0,703.0
2013-11-19,397.0,667.0,598.0
2013-11-20,71.0,802.0,98.0
2013-11-21,372.0,163.0,794.0
2013-11-22,588.0,877.0,960.0
2013-11-23,26.0,570.0,169.0
2013-11-24,619.0,68.0,57.0
2013-11-25,702.0,552.0,80.0
2013-11-26,387.0,551.0,820.0
2013-11-27,237.0,744.0,252.0
2013-11-28,275.0,682.0,443.0
2013-11-29,69.0,151.0,571.0
2016-12-15,242.0,7.0,451.0
2016-12-16,550.0,448.0,635.0
2016-12-17,9.0,423.0,314.0
2016-12-18,509.0,222.0,171.0
2016-12-19,88.0,456.0,895.0
2016-12-20,6.0,505.0,211.0
2016-12-21,791.0,670.0,737.0
2016-12-22,996.0,325.0,30.0
2016-12-23,547.0,760.0,614.0
2016-12-24,77.0,795.0,619.0
2016-12-26,631.0,701.0,266.0
2016-12-27,654.0,18.0,861.0
2016-12-28,236.0,257.0,824.0
2016-12-29,747.0,116.0,150.0
2012-10-28,782.0,825.0,229.0
2012-10-29,899.0,710.0,855.0
2012-10-30,904.0,809.0,1.0
2012-10-31,538.0,220.0,503.0
2017-12-10,293.0,573.0,827.0
2017-12-11,275.0,863.0,882.0
2017-12-12,865.0,455.0,814.0
2017-12-13,201.0,822.0,555.0
2013-11-30,491.0,0.0,661.0
2016-12-30,905.0,146.0,227.0
2016-12-31,462.0,40.0,173.0
2012-11-10,287.0,186.0,388.0
2012-11-11,795.0,506.0,800.0
2012-11-12,921.0,681.0,797.0
2017-12-14,779.0,593.0,646.0
2017-12-15,546.0,803.0,818.0
2017-12-16,64.0,962.0,437.0
2017-12-17,656.0,885.0,38.0
2017-12-18,666.0,402.0,161.0
2017-12-19,200.0,562.0,266.0
2017-12-20,328.0,146.0,595.0
2017-12-21,36.0,363.0,822.0
2013-12-10,986.0,944.0,631.0
2013-12-11,447.0,825.0,478.0
2013-12-12,664.0,518.0,871.0
2013-12-13,679.0,995.0,171.0
2013-12-14,214.0,923.0,159.0
2013-12-15,338.0,8.0,511.0
2013-12-16,933.0,469.0,884.0
2013-12-17,1.0,838.0,637.0
2013-12-18,133.0,733.0,459.0
2013-12-19,175.0,160.0,235.0
2012-11-13,147.0,621.0,844.0
2012-11-14,475.0,557.0,833.0
2012-11-15,739.0,37.0,908.0
2012-11-16,311.0,731.0,479.0
2012-11-17,612.0,571.0,366.0
2012-11-18,210.0,328.0,430.0
2012-11-19,658.0,204.0,283.0
2012-11-20,671.0,720.0,578.0
2012-11-21,858.0,680.0,405.0
2012-11-22,162.0,379.0,241.0
2012-11-23,787.0,594.0,403.0
2017-12-22,599.0,620.0,20.0
2017-12-23,154.0,926.0,288.0
2017-12-24,58.0,753.0,996.0
2017-12-26,144.0,540.0,753.0
2017-12-27,860.0,284.0,824.0
2017-12-28,436.0,181.0,256.0
2017-12-29,675.0,507.0,226.0
2017-12-30,122.0,876.0,186.0
2013-12-20,748.0,563.0,495.0
2013-12-21,519.0,859.0,713.0
2013-12-22,130.0,359.0,947.0
2013-12-23,849.0,111.0,384.0
2013-12-24,62.0,369.0,639.0
2013-12-26,124.0,908.0,191.0
2013-12-27,646.0,183.0,583.0
2018-10-10,818.0,291.0,652.0
2018-10-11,494.0,979.0,561.0
2018-10-12,240.0,486.0,94.0
2018-10-13,491.0,161.0,44.0
2012-11-24,415.0,456.0,462.0
2012-11-25,114.0,152.0,368.0
2012-11-26,956.0,984.0,121.0
2012-11-27,777.0,594.0,853.0
2012-11-28,105.0,538.0,310.0
2012-11-29,491.0,199.0,553.0
2012-11-30,779.0,104.0,804.0
2017-12-31,531.0,95.0,651.0
2013-12-28,956.0,862.0,825.0
2013-12-29,213.0,397.0,734.0
2013-12-30,372.0,446.0,42.0
2013-12-31,971.0,859.0,910.0
2018-10-14,936.0,601.0,844.0
2018-10-15,751.0,769.0,282.0
2018-10-16,524.0,772.0,28.0
2018-10-17,487.0,338.0,102.0
2018-10-18,211.0,795.0,932.0
2018-10-19,441.0,457.0,883.0
2018-10-20,250.0,316.0,975.0
2018-10-21,656.0,264.0,226.0
2012-12-10,983.0,486.0,22.0
2012-12-11,864.0,599.0,978.0
2012-12-12,329.0,584.0,414.0
2012-12-13,22.0,940.0,890.0
2012-12-14,207.0,377.0,411.0
2012-12-15,744.0,435.0,639.0
2018-10-22,9.0,153.0,1.0
2018-10-23,466.0,664.0,364.0
2018-10-24,325.0,80.0,969.0
2018-10-25,87.0,563.0,528.0
2018-10-26,240.0,889.0,706.0
2018-10-27,758.0,487.0,749.0
2018-10-28,942.0,150.0,453.0
2018-10-29,262.0,695.0,695.0
2018-10-30,774.0,127.0,569.0
2018-10-31,547.0,592.0,678.0
2015-10-10,765.0,222.0,659.0
2015-10-11,375.0,929.0,489.0
2015-10-12,321.0,613.0,747.0
2015-10-13,606.0,556.0,774.0
2015-10-14,396.0,201.0,960.0
2015-10-15,363.0,214.0,833.0
2015-10-16,786.0,163.0,776.0
2015-10-17,614.0,23.0,827.0
2015-10-18,662.0,238.0,684.0
2015-10-19,652.0,96.0,186.0
2015-10-20,740.0,235.0,760.0
2012-12-16,268.0,272.0,363.0
2012-12-17,53.0,781.0,651.0
2012-12-18,967.0,961.0,78.0
2012-12-19,162.0,770.0,490.0
2012-12-20,965.0,218.0,179.0
2012-12-21,251.0,795.0,925.0
2012-12-22,330.0,510.0,741.0
2012-12-23,584.0,367.0,53.0
2012-12-24,470.0,629.0,804.0
2012-12-25,,,
